  SCF Step    1                                                                                     
  r(a.u.)    Density   radDensity                                                                   
       NPOINTS =      112                                                                           
Nelec (numeric) =   0.99811065                                                                      

  SCF Step    6                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  0.0500     0.2257     0.0071                                                                      
  0.1000     0.2106     0.0265                                                                      
  0.1500     0.1914     0.0541                                                                      
  0.2000     0.1724     0.0866                                                                      
  0.2500     0.1556     0.1222                                                                      
  0.3000     0.1409     0.1594                                                                      
  0.3500     0.1279     0.1969                                                                      
  0.4000     0.1160     0.2333                                                                      
  0.4500     0.1052     0.2676                                                                      
  0.5000     0.0953     0.2994                                                                      
  0.5500     0.0864     0.3284                                                                      
  0.6000     0.0784     0.3546                                                                      
  0.6500     0.0712     0.3780                                                                      
  0.7000     0.0647     0.3986                                                                      
  0.7500     0.0589     0.4164                                                                      
  0.8000     0.0536     0.4314                                                                      
  0.8500     0.0489     0.4436                                                                      
  0.9000     0.0445     0.4530                                                                      
  0.9500     0.0405     0.4598                                                                      
  1.0000     0.0369     0.4641                                                                      
  1.0500     0.0336     0.4662                                                                      
  1.1000     0.0307     0.4662                                                                      
  1.1500     0.0279     0.4644                                                                      
  1.2000     0.0255     0.4610                                                                      
  1.2500     0.0232     0.4561                                                                      
  1.3000     0.0212     0.4501                                                                      
  1.3500     0.0193     0.4430                                                                      
  1.4000     0.0177     0.4351                                                                      
  1.4500     0.0161     0.4263                                                                      
  1.5000     0.0147     0.4170                                                                      
  1.5500     0.0135     0.4071                                                                      
  1.6000     0.0123     0.3968                                                                      
  1.6500     0.0113     0.3862                                                                      
  1.7000     0.0103     0.3753                                                                      
  1.7500     0.0095     0.3643                                                                      
  1.8000     0.0087     0.3531                                                                      
  1.8500     0.0080     0.3419                                                                      
  1.9000     0.0073     0.3308                                                                      
  1.9500     0.0067     0.3197                                                                      
  2.0000     0.0061     0.3087                                                                      
  2.0500     0.0056     0.2978                                                                      
  2.1000     0.0052     0.2871                                                                      
  2.1500     0.0048     0.2766                                                                      
  2.2000     0.0044     0.2663                                                                      
  2.2500     0.0040     0.2563                                                                      
  2.3000     0.0037     0.2465                                                                      
  2.3500     0.0034     0.2369                                                                      
  2.4000     0.0031     0.2276                                                                      
  2.4500     0.0029     0.2185                                                                      
  2.5000     0.0027     0.2096                                                                      
  2.5500     0.0025     0.2011                                                                      
  2.6000     0.0023     0.1927                                                                      
  2.6500     0.0021     0.1846                                                                      
  2.7000     0.0019     0.1767                                                                      
  2.7500     0.0018     0.1691                                                                      
  2.8000     0.0016     0.1617                                                                      
  2.8500     0.0015     0.1545                                                                      
  2.9000     0.0014     0.1475                                                                      
  2.9500     0.0013     0.1408                                                                      
  3.0000     0.0012     0.1342                                                                      
  3.0500     0.0011     0.1279                                                                      
  3.1000     0.0010     0.1217                                                                      
  3.1500     0.0009     0.1158                                                                      
  3.2000     0.0009     0.1101                                                                      
  3.2500     0.0008     0.1046                                                                      
  3.3000     0.0007     0.0992                                                                      
  3.3500     0.0007     0.0941                                                                      
  3.4000     0.0006     0.0891                                                                      
  3.4500     0.0006     0.0844                                                                      
  3.5000     0.0005     0.0798                                                                      
  3.5500     0.0005     0.0754                                                                      
  3.6000     0.0004     0.0712                                                                      
  3.6500     0.0004     0.0672                                                                      
  3.7000     0.0004     0.0633                                                                      
  3.7500     0.0003     0.0596                                                                      
  3.8000     0.0003     0.0561                                                                      
  3.8500     0.0003     0.0527                                                                      
  3.9000     0.0003     0.0495                                                                      
  3.9500     0.0002     0.0465                                                                      
  4.0000     0.0002     0.0436                                                                      
  4.0500     0.0002     0.0408                                                                      
  4.1000     0.0002     0.0382                                                                      
  4.1500     0.0002     0.0357                                                                      
  4.2000     0.0002     0.0334                                                                      
  4.2500     0.0001     0.0311                                                                      
  4.3000     0.0001     0.0290                                                                      
  4.3500     0.0001     0.0270                                                                      
  4.4000     0.0001     0.0252                                                                      
  4.4500     0.0001     0.0234                                                                      
  4.5000     0.0001     0.0217                                                                      
  4.5500     0.0001     0.0202                                                                      
